method,t,median,q1,q3,coverage
pso,125.2287943030676,19.108019639934533,8.89990452615329,28.201811590297467,1.0
pso,149.137758107251,19.0671031096563,8.606389624259766,28.201811590297467,1.0
pso,177.61147519657962,18.479776847977686,8.526856220230073,27.88279815607271,1.0
pso,211.52145856195136,18.29652996845426,8.408091374624373,27.49646089559103,1.0
pso,251.90561241978202,18.29652996845426,8.408091374624373,27.35943288097471,1.0
pso,300.0000000000001,18.25709779179811,8.408091374624373,27.35943288097471,1.0
rime,0.01,44.01069518716578,31.41891891891892,58.00180831826401,0.9701492537313433
rime,0.01190922255039211,43.33333333333333,30.79954954954955,56.6003616636528,0.9701492537313433
rime,0.014182958175476787,42.586750788643535,29.568385650224215,55.379746835443036,0.9701492537313433
rime,0.016890800533465627,41.83912199445048,29.63152152948551,54.539991101926006,0.9850746268656716
rime,0.020115630260732383,40.712462594613626,28.995628864723262,52.86846278595827,0.9850746268656716
rime,0.0239561517516464,40.13148542999289,28.746458923512748,52.40918370949884,0.9850746268656716
rime,0.028529914266132276,39.70352988615359,28.409616224824887,52.426617461242216,0.9850746268656716
rime,0.03397690983389759,39.53918643990308,27.888109029921218,52.23965387224749,0.9850746268656716
rime,0.04046385807864926,38.85289512183971,26.939071458849252,51.71561673236637,0.9850746268656716
rime,0.04818930911061157,38.329669804558705,26.683845347254753,51.139215285711764,0.9850746268656716
rime,0.05738972067479109,37.77416734362308,26.560289918122393,50.08494619181288,1.0
rime,0.06834669556209264,37.36799350121852,26.408579770040042,49.814723039790564,1.0
rime,0.0813956008032858,36.7816091954023,25.538646453829507,49.11959553695955,1.0
rime,0.09693583245892048,36.478599221789885,25.258377395533543,48.677856424069546,1.0
rime,0.11544304018608072,35.45454545454545,24.81309818619905,47.90355194564452,1.0
rime,0.13748368574698944,34.97326203208556,24.232872622873764,46.95490994978575,1.0
rime,0.16373238106090687,34.54545454545455,23.497845287798125,46.34675732217573,1.0
rime,0.19499253647599463,33.98550724637681,22.972260266407474,44.931132821054845,1.0
rime,0.232220951255807,33.590576766856216,22.54279050417136,43.84759102601249,1.0
rime,0.2765570989369163,33.208556149732615,21.908353412310646,43.36933633681427,1.0
rime,0.3293580039130544,32.5,21.051105613112725,42.91828771642436,1.0
rime,0.39223977673534804,31.884646628757107,20.401378426737942,42.19430450004269,1.0
rime,0.46712707942573733,31.600324939073925,19.418196181255883,42.11994421199442,1.0
rime,0.5563120348195794,31.275385865150284,18.84683169716802,41.43068771736581,1.0
rime,0.6625243830127855,30.56020066889632,18.524034829573004,40.64149411287049,1.0
rime,0.7890150322360485,29.68227424749164,18.067241991678788,39.56808360525619,1.0
rime,0.9396555614503901,28.929765886287626,16.948529411764707,38.872106273294534,1.0
rime,1.1190567202026338,28.929765886287626,15.94741520288522,38.30993303591809,1.0
rime,1.3327095527405048,28.637123745819395,15.254902390234642,37.29362709696427,1.0
rime,1.5871534658620194,28.188464662875713,14.450629462608042,36.95891665265171,1.0
rime,1.8901763846576944,27.563091482649845,13.78121942850468,36.391336813912446,1.0
rime,2.251053122438406,27.20820189274448,13.351989955005738,36.25186679996544,1.0
rime,2.6808292607874016,26.06382978723404,13.057445806851982,34.532866677148874,1.0
